Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"01","04000US01","Alabama","Alabama","AL","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747424,4747424,303661,309698,318525,200321,477141,602512,625184,688821,574227,362130,210022,75182,3138078,567670,986404,894565,438211,179590,43451,28187,46896,53832,30754,41094,59809,55160,39023,39204,39033,54218,1944673,258116,627169,426502,323244,195200,78149,36293,24,163259,18794,4826,3995,1378,2282,335,436,395,7930,192,351,6636,484,267,1442,292,643,107,359,41,4476,77,391,144,297,655,1295,657,102,182,676,120,42910,16236,7495,6332,232,931,2318,6363,60,11399,59,428,7802,1119,1110,881,12172,432,544,677,3991,1041,4786,701,2894,200,247,216,81,840,0,1310,209,6618,1855,150,1102,603,441,1288,437,851,535,478,57,2168,258,152,1328,430,331,787,687,565,122,100,94150,90601,5031,140,1252,485,324,1544,396,890,79580,65337,197,1327,8871,2306,461,933,148,5990,603,238,1212,275,1424,512,136,793,176,255,366,3549,3404,145
"02","04000US02","Alaska","Alaska","AK","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700703,700703,52380,49409,51467,32841,75801,98377,94875,110271,82601,33611,14829,4241,438805,37902,119549,161952,77520,29154,7495,5233,75383,82141,64575,48405,70773,63748,65267,59024,65836,82416,321760,88144,119659,57838,28005,14071,8852,5191,18,48350,8850,1702,880,208,534,138,242,580,2640,120,178,1744,246,352,252,30,133,26,57,6,4250,23,146,86,507,123,1379,1243,70,80,593,6,25406,6203,1416,948,142,326,814,3937,36,953,0,21,470,94,193,175,17770,117,58,1122,14097,1341,853,182,480,14,201,60,3,122,2,78,0,1871,832,169,55,608,90,394,22,372,105,105,0,390,7,5,259,119,60,1360,524,373,151,836,10863,8366,1815,9,92,1089,145,95,40,345,4640,3616,5,345,299,138,69,137,31,1911,187,35,330,133,517,64,0,414,23,87,121,2497,2481,16
"04","04000US04","Arizona","Arizona","AZ","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6337373,6337373,461855,444053,446301,271035,626915,859319,828392,830751,707290,481716,280469,99277,4087214,605627,1010731,1391958,688123,278520,66882,45373,55436,57417,44281,35198,71210,54503,43080,48223,42881,61299,2551403,328725,750239,547198,472411,294596,112848,45386,25,882904,84243,20025,15680,5636,8344,1700,1460,2885,24165,899,2886,16257,2528,1595,7915,1172,4544,590,1480,129,31967,1017,1454,1798,4963,4819,3535,1790,5443,3328,3820,171,142181,37546,20935,15401,1820,3714,4765,11846,0,35533,1235,1345,23318,5364,1834,2437,51202,1215,1405,1233,23502,3774,17075,2998,17513,8248,1293,1895,900,1057,446,3674,387,22455,8091,1738,1285,5068,1189,4282,1204,3078,1767,1706,61,4603,1029,1199,1467,908,2523,3219,1569,1132,437,1650,630806,595183,9818,227,4029,1183,653,1903,949,874,566202,541000,754,7970,9999,3152,1162,1656,509,19163,2209,398,1958,1491,5364,1626,479,3599,327,1137,575,35623,35448,175
"05","04000US05","Arkansas","Arkansas","AR","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895928,2895928,196325,196223,195740,119923,283025,372510,371885,401962,344791,228866,134431,50247,1904692,330397,670457,530833,248127,87027,23773,14078,43854,47380,28051,44079,52702,33402,35873,35224,36806,47735,1189734,233516,415575,229176,164963,89540,37410,19554,21,127481,10142,2739,2287,928,1164,195,228,224,4301,179,734,3069,202,117,748,55,366,105,206,16,2324,19,191,163,228,507,454,170,66,236,290,30,26465,6839,3512,2956,30,526,1034,2233,60,6294,0,223,4571,278,567,655,12018,119,285,3166,3281,963,3992,212,1265,207,216,55,136,252,27,372,49,2176,452,87,98,267,358,361,175,186,246,226,20,717,127,56,319,215,42,3195,518,405,113,2677,85503,83112,1301,87,269,204,117,206,210,208,78838,63895,235,9147,3190,1543,439,291,98,2973,173,251,601,204,676,179,0,593,20,219,57,2391,2337,54
"06","04000US06","California","California","CA","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36969200,36969200,2545224,2487950,2592194,1678150,3867838,5285221,5237049,5195923,3911818,2213259,1373016,581558,23797844,4564854,5025372,7012551,4583032,1724744,545276,342015,67320,70485,48575,49816,82979,71867,51117,64254,52012,78092,15430145,1729574,4538358,3126309,2670496,1829829,1060568,475011,27,10042540,665988,169527,124431,47723,65824,10884,17744,27352,160910,8439,32517,85824,19510,14620,86653,12639,32015,27922,12430,1647,247256,6114,9396,13110,22600,26531,61815,51956,5409,9438,40887,1642,3585686,1170920,724758,461042,94850,168866,108822,334389,2951,627336,25108,11250,334762,193928,37213,25075,1545372,57293,39612,57029,806298,65824,473382,45934,234686,31075,30711,32099,18574,14712,66486,41029,7372,150060,47358,17970,9706,19682,4361,42312,27949,14363,16618,16357,261,30070,4303,1964,18625,5178,9341,75660,24833,16671,8162,50827,5565146,5434339,69170,811,36453,4494,3439,12937,6009,5027,5125238,4288908,12859,415518,255405,55974,64723,10842,21009,239931,32582,10058,30365,15892,38335,25294,3652,67000,3130,9662,3961,130807,130246,561
"08","04000US08","Colorado","Colorado","CO","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4966061,4966061,342006,343819,325169,201546,488096,715257,703322,736137,575833,298146,168372,68358,3265425,336899,748892,994508,760017,309147,70117,45845,63008,65756,43470,40286,67655,53081,43964,49911,43719,69351,2298736,333610,692273,506593,372975,249863,98107,45315,24,483215,68922,15139,11733,3827,6881,1025,823,2583,23045,1103,2260,15884,2089,1709,3787,961,1661,176,965,24,26882,422,1979,1269,3935,1720,7926,2960,1864,749,4058,69,102680,35788,15028,11967,900,2161,4184,16069,507,22583,913,341,13177,2324,1101,4727,37910,1459,1647,2328,9962,3612,16367,2535,6257,988,999,828,430,609,237,2166,142,21265,10407,5059,1089,4259,711,3887,793,3094,1630,1610,20,3522,1462,309,899,852,1108,4043,3060,2031,1029,983,286305,272389,4926,32,1252,893,497,1361,383,508,253666,233161,718,8113,5505,4047,673,1246,203,13797,1295,483,1989,1061,2777,517,77,3826,117,1323,332,13916,13870,46
"09","04000US09","Connecticut","Connecticut","CT","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558172,3558172,203168,223780,240292,152964,324046,415295,498244,568426,432483,247999,167579,83896,2413922,275933,678997,596970,486109,270068,69333,36512,75633,81504,47936,54646,89591,77034,39226,55052,43972,83985,1659052,226118,527076,365001,249958,164715,80859,45325,25,474139,135497,21216,15447,6017,7536,1894,3409,2360,16465,855,2747,9396,1856,1611,38416,4469,19498,12697,1709,43,59066,645,1938,2119,27718,2216,6245,3988,2302,2194,9701,334,105365,30408,20709,17080,1382,2247,2736,6963,0,42870,340,3337,29391,1362,5805,2635,24037,2126,690,2148,9078,1830,7055,1110,7519,399,1283,1161,445,2169,258,1804,531,17235,2648,516,784,1348,994,3197,1463,1734,1434,1312,122,7010,2489,671,1681,2169,1952,1464,1353,949,404,111,214578,197224,71979,1038,2987,13224,12574,34742,2720,4694,52383,25743,1626,5776,12786,4705,729,802,216,72862,3234,843,16030,1406,13083,17863,4484,12405,741,1898,875,17354,17173,181
"10","04000US10","Delaware","Delaware","DE","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890856,890856,55999,56450,56330,36676,89463,111026,118231,131667,108463,70447,40291,15813,595938,75360,188929,164954,99435,46584,11564,9112,64791,69805,47711,42326,97015,38975,42795,52942,45898,70881,400183,49678,129267,93610,58925,39286,19814,9603,25,74133,10445,3035,2492,848,1415,229,389,154,2673,155,408,1703,234,173,2062,532,1077,86,360,7,2675,41,107,75,551,370,413,280,0,84,754,0,22340,6757,4984,4025,263,696,375,1398,0,9784,126,301,7767,296,1076,218,4623,51,75,78,2811,362,1039,207,1135,45,133,167,2,469,0,319,41,7024,1995,298,1400,297,288,563,204,359,166,166,0,3107,744,1089,843,431,905,103,103,61,42,0,34221,32612,6620,112,456,841,1782,2392,714,323,22128,16620,190,589,4043,486,42,134,24,3864,298,74,468,264,644,324,429,1005,0,180,178,1609,1564,45
"11","04000US11","District of Columbia","District of Columbia","DC","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593955,593955,33348,26281,25874,17520,83356,119373,81505,75353,63456,36086,21626,10177,407576,52505,79547,69873,91283,66355,32182,15831,67541,111505,43059,65508,84072,130087,45231,69243,58715,115233,283357,16470,60016,65934,68266,45675,20886,6110,30,78907,14499,3645,2325,1371,838,116,440,880,4406,382,1469,1738,189,628,1804,142,824,95,730,13,4644,122,189,178,414,451,1230,231,99,332,1398,0,14665,4806,2658,1991,292,375,797,1343,8,3899,83,335,2148,726,256,351,4305,130,398,26,1558,404,1359,430,1647,30,255,308,66,371,9,608,8,11387,4612,3455,259,898,1392,754,328,426,266,252,14,3341,534,270,1649,888,1022,770,714,427,287,56,37586,36028,8215,58,579,1638,677,2081,1968,1214,21631,3348,368,13184,1769,1505,943,405,109,6182,709,441,796,479,1456,199,483,996,107,300,216,1558,1450,108
"12","04000US12","Florida","Florida","FL","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18688787,18688787,1079187,1076647,1126827,723172,1733738,2275039,2474758,2702167,2290799,1682030,1095375,429048,12949216,1871637,3897573,3813638,2170821,806219,257230,132098,52241,55219,38595,44096,64920,56796,44495,47452,45328,57272,7758011,816538,2227516,1766023,1495795,928627,373212,150300,26,3595772,378892,98681,77253,27773,42320,7160,9079,12349,93018,4104,16440,58852,6679,6943,62441,10158,29408,7603,14667,605,123781,3007,7527,10063,22822,11875,18539,12412,8880,6500,22156,971,354722,74848,44256,32897,4393,6966,10112,20351,129,96303,591,7342,63389,8521,11866,4594,139746,3995,3474,4582,67273,10827,45715,3880,40826,2193,12392,5947,3105,6966,552,9671,2999,57868,11436,2667,2914,5855,1646,19447,9111,10336,9033,8942,91,12993,1708,1822,6583,2880,3313,6949,5147,3756,1391,1802,2797341,2688621,1440338,4784,794903,98806,267376,188366,38288,47815,617196,283130,14557,41707,62231,86563,104390,19646,4972,631087,44657,8380,69254,17907,224550,45861,30664,84696,12863,85900,6355,108720,107354,1366
