Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"0110700","32000US0110700","Albertville, AL Micro Area; Alabama","Albertville, Alabama","AL","320","00","ACSSF","0010645",,,,,"01",,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,,,92052,92052,6774,6198,6249,3957,7917,11358,12127,12867,11154,7687,4241,1523,60957,15568,19978,16143,5933,2723,493,119,42122,42508,20276,27392,31630,,31361,48197,27376,43431,36175,6851,12420,4781,4519,4619,2002,983,24,7509,257,108,41,18,12,11,50,17,92,0,0,87,5,0,22,12,10,0,0,0,35,0,0,0,7,0,0,28,0,0,0,0,391,113,113,113,0,0,0,0,0,86,0,0,70,13,0,3,192,0,10,0,42,19,0,121,0,0,0,0,0,0,0,0,0,63,26,14,0,12,0,37,0,37,0,0,0,0,0,0,0,0,0,55,10,10,0,45,6743,6706,155,0,30,0,125,0,0,0,6453,4661,0,83,1565,124,20,0,0,98,0,0,1,59,25,13,0,0,0,0,0,37,37,0
"0110760","32000US0110760","Alexander City, AL Micro Area; Alabama","Alexander City, Alabama","AL","320","00","ACSSF","0010646",,,,,"01",,,,,,,,,,,,,,"10760",,,,,,,,,,,,,,,,,,,,,,,,,,,,52917,52917,3004,3025,3413,2260,4225,5578,6920,7932,7598,5128,2821,1013,36990,8407,13209,9662,3726,1491,294,201,42505,49378,27425,,,,31075,21936,33338,49553,20877,3441,7102,3363,2851,2110,1409,601,25,967,119,0,0,0,0,0,0,0,60,0,12,48,0,0,29,0,17,12,0,0,30,0,0,0,0,0,30,0,0,0,0,0,83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80,0,0,0,80,0,0,0,2,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,22,22,22,0,0,718,718,32,0,0,0,0,32,0,0,686,668,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0111500","32000US0111500","Anniston-Oxford, AL Metro Area; Alabama","Anniston-Oxford, Alabama","AL","320","00","ACSSF","0010647",,,,,"01",,,,,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,,,,,,,,117614,117614,7205,7586,7554,4596,12567,14806,14866,16938,14709,9261,5761,1765,78106,17296,26319,22126,7597,3320,620,828,43109,47395,25713,51811,82007,,62922,28783,44636,47508,45803,7059,15823,10430,6877,3305,1485,824,22,2690,555,101,76,30,31,15,11,14,424,15,13,381,15,0,19,0,9,0,10,0,11,0,0,0,11,0,0,0,0,0,0,0,570,283,70,54,0,16,49,164,0,199,0,0,145,0,43,11,80,0,0,0,44,36,0,0,8,0,8,0,0,0,0,0,0,24,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1541,1486,52,0,0,0,14,24,0,14,1365,1179,0,74,51,11,0,50,0,69,0,5,17,0,0,0,0,29,0,14,4,55,55,0
"0112220","32000US0112220","Auburn-Opelika, AL Metro Area; Alabama","Auburn-Opelika, Alabama","AL","320","00","ACSSF","0010648",,,,,"01",,,,,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,,,,,,,,137855,137855,8373,8515,8674,5349,29520,18461,17200,16592,12843,7270,3637,1421,77424,11245,20886,21158,13795,6385,1386,2569,46225,50974,33130,49153,43094,,36318,36244,38125,51204,59609,9950,22709,13153,7484,4324,1160,829,20,6624,824,198,178,35,131,12,0,20,365,18,24,314,0,9,89,12,60,7,10,0,172,4,0,0,14,30,47,60,11,6,0,0,2838,1913,820,744,12,64,103,969,21,609,0,35,498,4,40,32,260,0,15,49,44,59,93,0,56,0,0,13,0,28,0,15,0,506,83,17,55,11,127,148,22,126,11,11,0,134,28,0,61,45,3,51,51,51,0,0,2405,2243,130,35,17,2,0,53,23,0,1946,1027,0,8,778,16,113,4,0,167,0,0,75,0,35,30,0,27,0,0,0,162,162,0
"0113820","32000US0113820","Birmingham-Hoover, AL Metro Area; Alabama","Birmingham-Hoover, Alabama","AL","320","00","ACSSF","0010649",,,,,"01",,,,,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,,,,,,,,1122192,1122192,74298,73717,75251,46316,101542,154389,152615,164800,134930,78601,47724,18009,751068,112902,217143,220849,128508,47796,15934,7936,52879,61344,35862,43106,65999,,38759,43103,43156,61787,481694,45696,135714,112029,96611,60357,21980,9307,26,46059,3868,1077,855,408,432,15,122,100,1231,18,105,942,96,70,287,87,124,0,53,23,1273,0,71,14,83,95,319,435,11,15,230,0,11695,3841,2562,2216,100,246,673,606,0,4143,0,66,2956,378,446,297,2682,41,73,39,948,125,1201,255,890,48,136,74,29,120,0,483,139,2454,982,0,745,237,64,490,200,290,246,227,19,585,30,55,349,151,87,91,91,86,5,0,27951,27029,788,15,182,150,48,274,42,77,24362,21888,91,800,896,363,79,205,40,1879,379,11,309,70,496,150,20,215,105,20,104,922,893,29
"0117980","32000US0117980","Columbus, GA-AL Metro Area (part); Alabama","Columbus, Alabama","AL","320","00","ACSSF","0010650",,,,,"01",,,,,,,,,,,,,,"17980",,,,,,,,,,,,,,,,,,,,,,,,,,,,52490,52490,3736,3193,3975,2500,4960,7092,6713,7515,6107,3755,2038,906,34126,7701,11460,10650,3054,1011,169,81,36869,44130,28498,13350,44764,98669,43328,32222,53795,43834,20929,2028,7158,5133,4192,1627,640,151,23,822,241,37,37,11,26,0,0,0,204,6,12,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,25,7,7,0,0,4,14,0,106,0,0,73,27,6,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,19,19,19,0,0,371,344,44,0,0,0,19,0,0,25,257,201,0,0,0,0,0,56,0,43,0,0,8,0,19,0,0,0,0,0,16,27,27,0
"0118980","32000US0118980","Cullman, AL Micro Area; Alabama","Cullman, Alabama","AL","320","00","ACSSF","0010651",,,,,"01",,,,,,,,,,,,,,"18980",,,,,,,,,,,,,,,,,,,,,,,,,,,,80246,80246,4922,5340,5231,3234,6815,9746,10434,11721,10133,7216,4112,1342,54704,12788,17883,16286,4807,2206,534,200,42275,42733,29173,34266,60458,,48812,20552,30773,43328,31547,4489,9484,5838,4427,3306,3087,916,27,2156,273,66,49,39,10,0,17,0,106,0,4,102,0,0,25,0,25,0,0,0,76,0,15,0,0,0,61,0,0,0,0,0,235,118,74,74,0,0,44,0,0,44,0,44,0,0,0,0,60,0,0,0,4,19,17,20,13,0,0,0,0,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1641,1603,2,0,0,0,0,0,2,0,1562,1507,0,0,55,0,0,0,0,39,0,0,9,0,0,0,0,0,0,0,30,38,38,0
"0119300","32000US0119300","Daphne-Fairhope-Foley, AL Micro Area; Alabama","Daphne-Fairhope-Foley, Alabama","AL","320","00","ACSSF","0010652",,,,,"01",,,,,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,,,,,,,,179523,179523,11109,11370,11989,7126,13479,20594,23544,26483,23819,17298,9560,3152,124450,15094,36271,39216,22946,7973,1828,1122,56057,59542,31322,30735,45830,,42158,44700,41466,60013,76182,10612,22807,14376,13688,8760,4272,1667,25,6731,1430,432,332,112,190,30,56,44,361,0,50,251,60,0,67,4,7,41,15,0,501,0,165,50,9,118,58,7,26,39,29,69,1139,318,205,149,0,56,35,78,0,33,0,0,33,0,0,0,561,7,31,0,224,245,3,51,227,0,0,0,0,227,0,0,0,127,0,0,0,0,0,51,51,0,76,76,0,0,0,0,0,0,0,18,18,18,0,0,4017,3628,316,0,112,0,0,177,27,0,2555,2000,9,25,107,371,23,20,0,757,0,135,354,11,97,56,0,43,0,25,36,389,389,0
"0119460","32000US0119460","Decatur, AL Metro Area; Alabama","Decatur, Alabama","AL","320","00","ACSSF","0010653",,,,,"01",,,,,,,,,,,,,,"19460",,,,,,,,,,,,,,,,,,,,,,,,,,,,152771,152771,9687,10499,9850,6493,12901,18765,21195,22971,19073,12348,6759,2230,103341,19661,35448,30170,12421,4330,829,482,48287,51755,29131,58235,24576,,36774,43277,36978,52264,64597,8968,19128,13218,12373,8197,2118,595,24,6634,393,110,96,16,80,0,3,11,152,8,0,118,12,14,0,0,0,0,0,0,131,0,0,0,0,13,75,43,0,0,0,0,841,282,56,56,0,0,90,136,0,176,0,10,152,0,0,14,262,0,0,0,90,29,143,0,121,0,0,0,0,59,0,62,0,63,13,13,0,0,0,27,0,27,23,23,0,0,0,0,0,0,0,0,0,0,0,0,5337,5260,83,0,26,0,0,13,38,6,5028,4057,0,3,891,22,0,55,0,149,0,0,10,0,48,7,0,58,0,16,10,77,77,0
"0120020","32000US0120020","Dothan, AL Metro Area; Alabama","Dothan, Alabama","AL","320","00","ACSSF","0010654",,,,,"01",,,,,,,,,,,,,,"20020",,,,,,,,,,,,,,,,,,,,,,,,,,,,144196,144196,9133,9627,9723,6113,11980,17313,18879,21013,18558,12237,7235,2385,97620,19033,34125,28147,10374,4311,1071,559,43769,50518,25872,42478,53249,67585,30325,35657,32832,50991,59493,9239,21720,12237,9658,4615,1025,999,22,3222,356,40,40,22,14,4,0,0,236,0,14,191,29,2,8,2,2,0,4,0,72,3,0,2,25,0,0,0,0,0,42,0,937,354,152,134,0,18,62,140,0,230,0,7,198,4,9,12,307,0,4,0,50,40,210,3,46,4,5,0,0,12,0,25,0,53,22,10,0,12,0,10,3,7,8,8,0,13,0,0,13,0,0,5,5,3,2,0,1871,1757,174,0,34,50,0,85,2,3,1380,1180,0,8,127,27,5,33,0,203,9,18,61,4,43,17,0,5,0,46,0,114,114,0
