Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,SE_A14007_001,SE_A14007_002,SE_A14007_003,SE_A14007_004,SE_A14007_005,SE_A14007_006,SE_A14007_007,SE_A14007_008,SE_A14007_009,SE_A14007_010,SE_B09001_001,SE_B09001_002,SE_B09001_003,SE_B09001_004,SE_B09001_005,SE_B09001_006,SE_B09001_007,SE_B09001_008,SE_A09003_001,SE_A07001_001,SE_A07001_002,SE_A07001_003,SE_A07001_004,SE_A07001_005,SE_A07001_006,SE_A07001_007,SE_A07001_008,SE_A07001_009,SE_A07001_010,SE_A07001_011,SE_A07001_012,SE_A07001_013,SE_A07001_014,SE_A07001_015,SE_A07001_016,SE_A07001_017,SE_A07001_018,SE_A07001_019,SE_A07001_020,SE_A07001_021,SE_A07001_022,SE_A07001_023,SE_A07001_024,SE_A07001_025,SE_A07001_026,SE_A07001_027,SE_A07001_028,SE_A07001_029,SE_A07001_030,SE_A07001_031,SE_A07001_032,SE_A07001_033,SE_A07001_034,SE_A07001_035,SE_A07001_036,SE_A07001_037,SE_A07001_038,SE_A07001_039,SE_A07001_040,SE_A07001_041,SE_A07001_042,SE_A07001_043,SE_A07001_044,SE_A07001_045,SE_A07001_046,SE_A07001_047,SE_A07001_048,SE_A07001_049,SE_A07001_050,SE_A07001_051,SE_A07001_052,SE_A07001_053,SE_A07001_054,SE_A07001_055,SE_A07001_056,SE_A07001_057,SE_A07001_058,SE_A07001_059,SE_A07001_060,SE_A07001_061,SE_A07001_062,SE_A07001_063,SE_A07001_064,SE_A07001_065,SE_A07001_066,SE_A07001_067,SE_A07001_068,SE_A07001_069,SE_A07001_070,SE_A07001_071,SE_A07001_072,SE_A07001_073,SE_A07001_074,SE_A07001_075,SE_A07001_076,SE_A07001_077,SE_A07001_078,SE_A07001_079,SE_A07001_080,SE_A07001_081,SE_A07001_082,SE_A07001_083,SE_A07001_084,SE_A07001_085,SE_A07001_086,SE_A07001_087,SE_A07001_088,SE_A07001_089,SE_A07001_090,SE_A07001_091,SE_A07001_092,SE_A07001_093,SE_A07001_094,SE_A07001_095,SE_A07001_096,SE_A07001_097,SE_A07001_098,SE_A07001_099,SE_A07001_100,SE_A07001_101,SE_A07001_102,SE_A07001_103,SE_A07001_104,SE_A07001_105,SE_A07001_106,SE_A07001_107,SE_A07001_108,SE_A07001_109,SE_A07001_110,SE_A07001_111,SE_A07001_112,SE_A07001_113,SE_A07001_114,SE_A07001_115,SE_A07001_116,SE_A07001_117,SE_A07001_118,SE_A07001_119,SE_A07001_120,SE_A07001_121,SE_A07001_122,SE_A07001_123
"36005000100","14000US36005000100","Census Tract 1, Bronx County, New York","Census Tract 1, Bronx County, New York","NY","140","00","ACSSF","0010345",,,,,"36","005",,,,"000100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10453,10453,0,0,0,631,3003,3044,2112,1323,280,60,0,0,6819,4935,1028,737,105,10,0,4,,,,,,,,,,,0,0,0,0,0,0,0,0,,1469,73,5,0,0,0,0,5,0,0,0,0,0,0,0,8,0,8,0,0,0,60,0,0,0,27,7,6,10,0,10,0,0,175,94,20,4,0,16,0,74,0,21,0,16,0,0,5,0,17,0,0,0,5,12,0,0,43,0,11,0,0,0,0,32,0,67,0,0,0,0,0,26,20,6,5,5,0,17,12,0,5,0,19,6,0,0,0,6,1148,1148,624,6,11,360,31,127,31,58,419,333,6,20,15,27,7,6,5,105,0,0,0,0,20,37,33,15,0,0,0,0,0,0
"36005000200","14000US36005000200","Census Tract 2, Bronx County, New York","Census Tract 2, Bronx County, New York","NY","140","00","ACSSF","0010346",,,,,"36","005",,,,"000200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4403,4403,358,418,166,229,656,575,649,551,383,181,195,42,2576,556,671,890,364,95,0,0,69304,74769,82079,15581,49795,,67826,139508,69785,27728,1994,126,178,340,499,232,431,188,41,1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,63,0,46,0,0,17,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,144,69,0,32,43,0,0,0,0,0,0,1042,1033,696,0,19,529,20,78,39,11,171,77,0,21,0,47,0,0,26,166,0,0,0,0,0,11,155,0,0,0,0,9,9,0
"36005000400","14000US36005000400","Census Tract 4, Bronx County, New York","Census Tract 4, Bronx County, New York","NY","140","00","ACSSF","0010347",,,,,"36","005",,,,"000400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017,5017,284,365,379,252,465,682,1003,663,506,276,120,22,3272,540,879,870,627,335,0,21,82718,65196,82863,,72154,,84148,39791,80556,116581,2482,133,490,349,435,390,535,150,37,979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,94,0,0,8,0,86,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,43,4,0,4,0,6,0,0,0,0,0,0,33,0,0,33,0,0,0,0,0,0,0,831,831,411,0,0,312,8,48,11,32,196,61,9,40,0,73,0,0,13,224,0,0,0,0,0,35,164,14,0,0,11,0,0,0
"36005001600","14000US36005001600","Census Tract 16, Bronx County, New York","Census Tract 16, Bronx County, New York","NY","140","00","ACSSF","0010348",,,,,"36","005",,,,"001600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5263,5263,380,341,295,302,424,483,899,679,714,427,196,123,3521,1013,1149,741,422,134,62,0,37039,27392,42298,,,,36581,13346,30948,46649,2103,163,357,85,489,279,458,272,43,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,262,262,0,0,0,0,0,0,0,0,0,1191,1191,796,0,47,308,7,242,95,97,109,43,13,0,0,35,18,0,0,286,0,0,0,0,0,262,24,0,0,0,0,0,0,0
"36005001900","14000US36005001900","Census Tract 19, Bronx County, New York","Census Tract 19, Bronx County, New York","NY","140","00","ACSSF","0010349",,,,,"36","005",,,,"001900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1926,1926,182,133,103,143,309,295,383,179,90,81,17,11,1056,339,309,252,96,60,0,0,28717,29590,14109,,,,28300,,27933,79611,529,9,33,22,150,128,187,0,43,504,30,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,454,454,174,0,24,111,0,0,39,0,280,237,0,39,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005002000","14000US36005002000","Census Tract 20, Bronx County, New York","Census Tract 20, Bronx County, New York","NY","140","00","ACSSF","0010350",,,,,"36","005",,,,"002000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8432,8432,320,751,972,465,879,900,960,1104,1135,544,337,65,5045,1992,1392,1045,391,214,0,11,27125,22943,32984,,,,24747,18822,25105,2730,2724,132,244,295,405,355,1095,198,46,1517,65,49,49,34,15,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1442,1442,1001,15,75,602,0,223,0,86,405,31,15,0,0,324,0,35,0,36,0,0,0,0,0,21,0,0,0,15,0,0,0,0
"36005002300","14000US36005002300","Census Tract 23, Bronx County, New York","Census Tract 23, Bronx County, New York","NY","140","00","ACSSF","0010351",,,,,"36","005",,,,"002300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5040,5040,394,296,370,355,554,548,541,788,467,446,226,55,3071,1442,989,537,89,0,13,1,13603,12980,15501,2730,,,22331,20090,13326,2730,1209,76,65,45,365,320,265,73,43,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,888,888,482,0,0,421,0,36,25,0,115,1,0,0,24,90,0,0,0,291,0,0,0,0,0,106,0,117,0,68,0,0,0,0
"36005002400","14000US36005002400","Census Tract 24, Bronx County, New York","Census Tract 24, Bronx County, New York","NY","140","00","ACSSF","0010352",,,,,"36","005",,,,"002400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36005002500","14000US36005002500","Census Tract 25, Bronx County, New York","Census Tract 25, Bronx County, New York","NY","140","00","ACSSF","0010353",,,,,"36","005",,,,"002500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878,4878,317,520,470,289,474,609,893,386,472,231,141,76,2808,1402,927,359,65,55,0,0,15765,14336,17309,,,,15019,18888,15221,12585,1425,145,108,112,337,475,171,77,38,1661,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,56,14,12,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,1566,1566,682,0,0,648,0,0,34,0,730,671,0,0,59,0,0,0,0,154,0,0,21,0,0,117,0,16,0,0,0,0,0,0
"36005002701","14000US36005002701","Census Tract 27.01, Bronx County, New York","Census Tract 27.01, Bronx County, New York","NY","140","00","ACSSF","0010354",,,,,"36","005",,,,"002701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3128,3128,212,300,226,205,438,354,450,391,257,226,49,20,1747,857,549,167,139,35,0,0,26640,33451,22724,,,,31793,13563,32462,,1034,61,89,123,305,149,228,79,40,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,18,70,0,0,0,0,0,488,488,112,0,0,74,0,38,0,0,358,234,0,0,0,124,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0
