Country,ccode,qtr,Approval_Smoothed,Approval_Not_Smoothed,NET_Smoothed,NET_Not_Smoothed,Relative_Smoothed,Relative_Not_Smoothed,year,quarter
Argentina,Argentina,1983q4,72.091103,71.724472,,,,,1983,4
Argentina,Argentina,1984q1,70.882217,70.464142,,,,,1984,1
Argentina,Argentina,1984q2,70.82196,70.464142,42.275131,42.11945,71.780296,71.70163,1984,2
Argentina,Argentina,1984q3,66.17466,65.628357,36.499939,36.475658,70.568192,70.514793,1984,3
Argentina,Argentina,1984q4,62.809601,61.916641,31.915319,31.00342,69.593399,69.370468,1984,4
Argentina,Argentina,1985q1,59.964859,59.545639,27.13405,27.033541,67.26265,67.2248,1985,1
Argentina,Argentina,1985q2,57.723572,57.139919,23.79645,23.18432,65.480423,65.155998,1985,2
Argentina,Argentina,1985q3,62.349258,62.71508,29.790689,30.17771,67.80027,67.900574,1985,3
Argentina,Argentina,1985q4,61.920349,61.684292,30.410789,30.400379,68.485107,68.432632,1985,4
Argentina,Argentina,1986q1,59.819191,59.528679,25.20182,25.27471,65.148804,65.161484,1986,1
Argentina,Argentina,1986q2,57.78862,57.24469,21.228069,20.520729,62.901718,62.520519,1986,2
Argentina,Argentina,1986q3,56.198158,55.67321,23.997829,24.114441,64.422707,64.454964,1986,3
Argentina,Argentina,1986q4,52.765011,52.270538,18.652639,18.248051,61.924091,61.722069,1986,4
Argentina,Argentina,1987q1,51.634239,51.593948,14.06171,13.78856,59.216808,59.057281,1987,1
Argentina,Argentina,1987q2,54.595402,54.93597,22.99757,23.705009,64.43544,64.78463,1987,2
Argentina,Argentina,1987q3,45.08371,44.012589,16.77173,16.216619,60.515461,60.15958,1987,3
Argentina,Argentina,1987q4,42.49128,42.364399,4.5235181,4.7439499,52.829781,52.92934,1987,4
Argentina,Argentina,1988q1,39.352089,38.922749,4.443789,4.7439499,52.786671,52.92934,1988,1
Argentina,Argentina,1988q2,38.829689,39.051781,-3.548315,-4.7855058,47.731178,47.001961,1988,2
Argentina,Argentina,1988q3,40.776421,41.22905,-5.8377142,-5.7980208,46.268009,46.27718,1988,3
Argentina,Argentina,1988q4,37.973251,37.850071,-6.855051,-6.777739,45.57074,45.580009,1988,4
Argentina,Argentina,1989q1,39.355461,39.68774,-6.5710292,-6.3018489,45.799179,45.92976,1989,1
Argentina,Argentina,1989q2,36.117298,35.984959,-15.14169,-15.50336,39.619511,39.336071,1989,2
Argentina,Argentina,1989q3,64.122437,67.378387,35.855282,39.847591,69.448036,71.547707,1989,3
Argentina,Argentina,1989q4,65.970993,66.063881,36.5117,36.814899,69.890198,70.028297,1989,4
Argentina,Argentina,1990q1,46.961929,44.689758,5.5263319,3.195245,53.831551,52.72414,1990,1
Argentina,Argentina,1990q2,52.002949,52.5158,14.3576,14.94173,59.18169,59.501308,1990,2
Argentina,Argentina,1990q3,52.002571,51.999512,16.23365,16.4965,61.308922,61.490891,1990,3
Argentina,Argentina,1990q4,53.421879,53.516788,18.516911,18.766581,62.142818,62.213329,1990,4
Argentina,Argentina,1991q1,40.599251,39.252819,10.97603,11.2283,57.41782,57.522739,1991,1
Argentina,Argentina,1991q2,40.622959,40.824928,4.8922362,3.9342041,53.58374,53.010818,1991,2
Argentina,Argentina,1991q3,43.72839,44.230301,8.682375,8.815711,55.483849,55.51923,1991,3
Argentina,Argentina,1991q4,52.017941,53.196789,24.45591,25.931999,64.149063,64.85907,1991,4
Argentina,Argentina,1992q1,47.695629,47.116638,12.13143,11.35967,57.828739,57.450539,1992,1
Argentina,Argentina,1992q2,48.588089,48.667702,7.3716531,7.4365702,54.93969,54.967098,1992,2
Argentina,Argentina,1992q3,45.5368,45.230209,4.0685539,3.6334431,52.851158,52.574539,1992,3
Argentina,Argentina,1992q4,43.59626,43.492771,2.3658819,2.475708,51.801441,51.839142,1992,4
Argentina,Argentina,1993q1,42.473728,42.476799,2.2846529,2.475708,51.758732,51.839142,1993,1
Argentina,Argentina,1993q2,41.680359,41.757061,1.33164,1.3533781,51.149101,51.13065,1993,2
Argentina,Argentina,1993q3,41.610901,41.68977,-2.222934,-2.3047481,48.013649,47.946701,1993,3
Argentina,Argentina,1993q4,49.023079,50.027401,-2.2890561,-2.1123979,47.667149,47.762852,1993,4
Argentina,Argentina,1994q1,47.202862,47.088718,-2.330291,-2.1123979,47.644459,47.762852,1994,1
Argentina,Argentina,1994q2,45.27486,45.10463,-2.1390021,-1.876353,47.750858,47.89156,1994,2
Argentina,Argentina,1994q3,40.206558,39.787739,-3.6222489,-3.3551741,47.301971,47.437241,1994,3
Argentina,Argentina,1994q4,42.585491,42.982681,-2.985157,-2.600343,47.713692,47.91803,1994,4
Argentina,Argentina,1995q1,42.665562,42.87463,1.4301471,1.9443049,50.16433,50.433441,1995,1
