name,total,from_small_donors,party,clean_name
                          Don Young (R),567883,14015,R,                          Don Young
                          Al Gross (I),1011219,92283,I,                          Al Gross
                          Dan Sullivan (R),4438425,46803,R,                          Dan Sullivan
                          James Averhart (D),22725,150,D,                          James Averhart
                          Wes Lambert (R),173065,810,R,                          Wes Lambert
                          Chris Pringle (R),308292,17255,R,                          Chris Pringle
                          Bill Hightower (R),554120,25208,R,                          Bill Hightower
                          Jerry Carl (R),856484,9430,R,                          Jerry Carl
                          Kiani A. Gardner (D),17589,5162,D,                          Kiani A. Gardner
                          Will Dismukes (R),12793,4143,R,                          Will Dismukes
                          Jeff Coleman (R),968001,1401,R,                          Jeff Coleman
                          Troy King (R),102742,2742,R,                          Troy King
                          Mike D Rogers (R),511423,3275,R,                          Mike D Rogers
                          Robert B Aderholt (R),495532,14408,R,                          Robert B Aderholt
                          Chris Lewis (R),57407,6863,R,                          Chris Lewis
                          Mo Brooks (R),238109,3449,R,                          Mo Brooks
                          Gary Palmer (R),403264,325,R,                          Gary Palmer
                          Terri A Sewell (D),831795,6145,D,                          Terri A Sewell
                          Michael Parrish (I),5116,116,I,                          Michael Parrish
                          John Merrill (R),845082,13956,R,                          John Merrill
                          Tommy Tuberville (R),1793499,94793,R,                          Tommy Tuberville
                          Stanley Adair (R),287813,686,R,                          Stanley Adair
                          Jeff Sessions (R),202069,2324,R,                          Jeff Sessions
                          Arnold Mooney (R),541052,239091,R,                          Arnold Mooney
                          Roy Moore (R),5315006,2392448,R,                          Roy Moore
                          Bradley Byrne (R),3127685,61177,R,                          Bradley Byrne
                          Doug Jones (D),30663197,14714025,D,                          Doug Jones
                          Rick Crawford (R),380591,21649,R,                          Rick Crawford
                          French Hill (R),957083,13027,R,                          French Hill
                          Celeste Williams (D),62947,21774,D,                          Celeste Williams
                          Steve Womack (R),297029,18888,R,                          Steve Womack
                          William Hanson (D),17010,760,D,                          William Hanson
                          Bruce Westerman (R),421858,6961,R,                          Bruce Westerman
                          Tom Cotton (R),6861479,1034976,R,                          Tom Cotton
                          Amata Coleman Radewagen (R),16726,475,R,                          Amata Coleman Radewagen
                          Chris Taylor (R),24563,5252,R,                          Chris Taylor
                          Eva Putzova (D),86557,47396,D,                          Eva Putzova
                          Tiffany Shedd (R),186534,8403,R,                          Tiffany Shedd
                          Tom O'Halleran (D),854448,53030,D,                          Tom O'Halleran
                          Mike Ligon (R),6888,0,R,                          Mike Ligon
                          Brandon Martin (R),48929,10200,R,                          Brandon Martin
                          Justine Wadsack (R),14040,2099,R,                          Justine Wadsack
                          Joseph Morgan (R),19542,0,R,                          Joseph Morgan
                          Shay Stautz (R),116525,4845,R,                          Shay Stautz
                          Ann Kirkpatrick (D),782761,122344,D,                          Ann Kirkpatrick
                          Raul M Grijalva (D),306594,40929,D,                          Raul M Grijalva
                          Paul Gosar (R),194665,36534,R,                          Paul Gosar
                          Joan Greene (D),19952,8507,D,                          Joan Greene
                          Andy Biggs (R),355804,44834,R,                          Andy Biggs
                          Stephanie Rimmer (D),142824,9384,D,                          Stephanie Rimmer
                          Hiral Tipirneni (D),768512,177340,D,                          Hiral Tipirneni
                          Anita Malik (D),97588,31901,D,                          Anita Malik
                          David Schweikert (R),620998,13216,R,                          David Schweikert
                          Ruben Gallego (D),782908,94532,D,                          Ruben Gallego
                          Michael Muscato (D),76269,7884,D,                          Michael Muscato
                          Debbie Lesko (R),477554,51050,R,                          Debbie Lesko
                          Dave Giles (R),25063,855,R,                          Dave Giles
                          Greg Stanton (D),599516,44031,D,                          Greg Stanton
                          Daniel McCarthy (R),122613,561,R,                          Daniel McCarthy
                          Mark Kelly (D),13887759,6451674,D,                          Mark Kelly
                          Martha McSally (R),8354274,2952432,R,                          Martha McSally
                          Audrey Denney (D),591031,221257,D,                          Audrey Denney
                          Doug LaMalfa (R),443065,19018,R,                          Doug LaMalfa
                          Jared Huffman (D),341380,27001,D,                          Jared Huffman
                          J.C. Sean Feucht (R),42873,6923,R,                          J.C. Sean Feucht
                          Tamika Hamilton (R),14854,8854,R,                          Tamika Hamilton
                          John Garamendi (D),380068,20794,D,                          John Garamendi
                          Brynne Kennedy (D),545878,27736,D,                          Brynne Kennedy
                          Julianne Benzel (R),43464,3631,R,                          Julianne Benzel
                          Tom McClintock (R),712627,223809,R,                          Tom McClintock
                          Mike Thompson (D),965011,65904,D,                          Mike Thompson
                          Benjamin Emard (D),7297,685,D,                          Benjamin Emard
                          Doris O Matsui (D),485213,4163,D,                          Doris O Matsui
                          Jeff Burdick (D),8134,734,D,                          Jeff Burdick
                          Buzz Patterson (R),29388,14288,R,                          Buzz Patterson
                          Ami Bera (D),698140,49660,D,                          Ami Bera
                          Jeremy Staat (R),19481,2681,R,                          Jeremy Staat
                          Jay Obernolte (R),103100,300,R,                          Jay Obernolte
                          Chris Bubser (D),356308,40198,D,                          Chris Bubser
                          Jerry McNerney (D),437651,34501,D,                          Jerry McNerney
                          Charles Dossett (R),17363,2641,R,                          Charles Dossett
                          Marla Livengood (R),106728,8103,R,                          Marla Livengood
                          Bob Elliott (R),260737,8549,R,                          Bob Elliott
                          Ted Howze (R),576284,20873,R,                          Ted Howze
                          Josh Harder (D),2370537,220402,D,                          Josh Harder
                          Mark Desaulnier (D),224688,15261,D,                          Mark Desaulnier
                          Deanna Lorraine (R),14129,10679,R,                          Deanna Lorraine
                          Tom Gallagher (D),12374,9824,D,                          Tom Gallagher
                          Agatha Bacelar (I),54175,16486,I,                          Agatha Bacelar
                          Nancy Pelosi (D),3717762,862888,D,                          Nancy Pelosi
                          Barbara Lee (D),681817,125094,D,                          Barbara Lee
                          Jackie Speier (D),401214,9309,D,                          Jackie Speier
                          Aisha Wahab (D),66746,16496,D,                          Aisha Wahab
                          Bob Wieckowski (D),11375,175,D,                          Bob Wieckowski
                          Eric Swalwell (D),1303698,52104,D,                          Eric Swalwell
                          Kim Williams (D),28869,6306,D,                          Kim Williams
                          Kevin Cookingham (R),25586,2111,R,                          Kevin Cookingham
                          Esmeralda Soria (D),153085,17367,D,                          Esmeralda Soria
                          Jim Costa (D),714026,870,D,                          Jim Costa
                          Ro Khanna (D),1571807,103473,D,                          Ro Khanna
                          Rishi Kumar (D),221488,7575,D,                          Rishi Kumar
                          Anna Eshoo (D),854320,15633,D,                          Anna Eshoo
                          Zoe Lofgren (D),874834,20139,D,                          Zoe Lofgren
                          Jimmy Panetta (D),750211,29000,D,                          Jimmy Panetta
                          David Valadao (R),548968,53868,R,                          David Valadao
                          TJ Cox (D),923928,107739,D,                          TJ Cox
                          Bobby Bliatout (D),204599,14899,D,                          Bobby Bliatout
                          Phil Arballo (D),380762,219839,D,                          Phil Arballo
                          Dary Rezvani (D),76886,22055,D,                          Dary Rezvani
                          Devin Nunes (R),5678450,3102309,R,                          Devin Nunes
                          Kim Mangone (D),5872,1838,D,                          Kim Mangone
                          Kevin McCarthy (R),5459472,849679,R,                          Kevin McCarthy
                          Andy Caldwell (R),67303,18007,R,                          Andy Caldwell
                          Salud Carbajal (D),975120,38127,D,                          Salud Carbajal
                          Mike Garcia (R),481013,95469,R,                          Mike Garcia
                          Suzette Valladares (R),28721,6751,R,                          Suzette Valladares
                          Mike Garcia (R),481013,95469,R,                          Mike Garcia
                          Angela Underwood Jacobs (R),224624,4476,R,                          Angela Underwood Jacobs
                          Mark Cripe (R),21305,3780,R,                          Mark Cripe
                          Ronda Kennedy (R),11975,630,R,                          Ronda Kennedy
                          Julia Brownley (D),790236,76179,D,                          Julia Brownley
                          Johnny Nalbandian (R),8912,112,R,                          Johnny Nalbandian
                          Judy Chu (D),475643,17160,D,                          Judy Chu
                          Jennifer Barbosa (I),42303,39014,I,                          Jennifer Barbosa
                          Jon Hollis (R),80489,66464,R,                          Jon Hollis
                          Eric Early (R),80787,22537,R,                          Eric Early
                          Adam Schiff (D),4377168,1936181,D,                          Adam Schiff
                          Tony Cardenas (D),410617,8585,D,                          Tony Cardenas
                          Brad Sherman (D),391320,5650,D,                          Brad Sherman
                          Pete Aguilar (D),980892,138249,D,                          Pete Aguilar
                          Meshal 'Kash' Kashifalghita (D),15480,1320,D,                          Meshal 'Kash' Kashifalghita
                          Grace Napolitano (D),216225,836,D,                          Grace Napolitano
                          Brandon Fricke (3),23840,3415,3,                          Brandon Fricke
                          James Bradley (R),7393,125,R,                          James Bradley
                          Ted Lieu (D),731774,45915,D,                          Ted Lieu
                          David Kim (D),7695,1645,D,                          David Kim
                          Frances Yasmeen Motiwalla (D),48604,14940,D,                          Frances Yasmeen Motiwalla
                          Jimmy Gomez (D),489348,5368,D,                          Jimmy Gomez
                          Norma Torres (D),252052,5826,D,                          Norma Torres
                          Raul M. Ruiz (R),11404,5654,R,                          Raul M. Ruiz
                          Raul Ruiz (D),824361,95546,D,                          Raul Ruiz
                          Karen Bass (D),914385,6834,D,                          Karen Bass
                          Linda Sanchez (D),380852,4988,D,                          Linda Sanchez
                          Young Kim (R),809666,102837,R,                          Young Kim
                          Gil Cisneros (D),926228,79601,D,                          Gil Cisneros
                          Lucille Roybal-Allard (D),234869,1619,D,                          Lucille Roybal-Allard
                          Mark Takano (D),477230,25851,D,                          Mark Takano
                          Liam O'Mara (D),20108,3808,D,                          Liam O'Mara
                          Julia Peacock (D),22120,9506,D,                          Julia Peacock
                          Ken Calvert (R),769167,17911,R,                          Ken Calvert
                          Omar Navarro (R),401800,308725,R,                          Omar Navarro
                          Joe Collins (R),451499,366967,R,                          Joe Collins
                          Maxine Waters (D),523827,24131,D,                          Maxine Waters
                          Nanette Barragan (D),532608,21021,D,                          Nanette Barragan
                          Aditya Pai (D),11256,606,D,                          Aditya Pai
                          Greg Raths (R),332012,43556,R,                          Greg Raths
                          Peggy Huang (R),374586,13013,R,                          Peggy Huang
                          Ray Gennawey (R),65975,12830,R,                          Ray Gennawey
                          Don Sedgwick (R),741760,11889,R,                          Don Sedgwick
                          Brenton Woolworth (R),10550,1800,R,                          Brenton Woolworth
                          Lisa Sparks (R),408429,28612,R,                          Lisa Sparks
                          Katie Porter (D),2441674,642865,D,                          Katie Porter
                          Lou Correa (D),434798,8527,D,                          Lou Correa
                          Amy Phan West (R),8735,4435,R,                          Amy Phan West
                          Sou Moua (R),7645,545,R,                          Sou Moua
                          Alan Lowenthal (D),273675,10536,D,                          Alan Lowenthal
                          Chris Engels (R),8500,0,R,                          Chris Engels
                          Brian Burley (R),19167,2604,R,                          Brian Burley
                          Michelle Steel (R),1145660,27548,R,                          Michelle Steel
                          Harley Rouda (D),1634851,146555,D,                          Harley Rouda
                          Mara Fortin (R),34858,420,R,                          Mara Fortin
                          Grace I Dr Williams (D),20309,2110,D,                          Grace I Dr Williams
                          Brian Maryott (R),623654,33710,R,                          Brian Maryott
                          Mike Levin (D),1451916,175559,D,                          Mike Levin
                          Carl Demaio (R),1409494,59886,R,                          Carl Demaio
                          Alex Balkin (D),37516,3171,D,                          Alex Balkin
                          Larry Wilske (R),450688,248986,R,                          Larry Wilske
                          Ammar Campa-Najjar (D),1296945,451904,D,                          Ammar Campa-Najjar
                          Bill Wells (R),53016,2616,R,                          Bill Wells
                          Sam Abed (R),34748,1400,R,                          Sam Abed
                          Duncan D Hunter (R),1191791,812078,R,                          Duncan D Hunter
                          Juan Vargas (D),245157,1124,D,                          Juan Vargas
                          Famela Ramos (R),29152,5202,R,                          Famela Ramos
                          Scott Peters (D),773260,38950,D,                          Scott Peters
                          Georgette Gomez (D),201263,18906,D,                          Georgette Gomez
                          Sara Jacobs (D),316092,9574,D,                          Sara Jacobs
                          Janessa Goldbeck (D),100757,30543,D,                          Janessa Goldbeck
                          Zachary Fields (D),6292,1425,D,                          Zachary Fields
                          Jose Ramon Caballero III (D),12312,6912,D,                          Jose Ramon Caballero III
                          Joaquin Vazquez (D),10160,5552,D,                          Joaquin Vazquez
                          Crisanta Duran (D),176500,37698,D,                          Crisanta Duran
                          Diana DeGette (D),527658,41509,D,                          Diana DeGette
                          Joseph Neguse (D),577808,29642,D,                          Joseph Neguse
                          Diane Mitsch Bush (D),280873,75668,D,                          Diane Mitsch Bush
                          Donald Valdez (D),24945,5345,D,                          Donald Valdez
                          Scott Tipton (R),551649,22375,R,                          Scott Tipton
                          Ken Buck (R),120687,1264,R,                          Ken Buck
                          Jillian Freeland (D),6689,2434,D,                          Jillian Freeland
                          Douglas L Lamborn (R),159075,475,R,                          Douglas L Lamborn
                          Steven House (R),202141,2165,R,                          Steven House
                          Casper Stockham (R),8613,4753,R,                          Casper Stockham
                          Jason Crow (D),1344011,76142,D,                          Jason Crow
                          Ed Perlmutter (D),553981,38674,D,                          Ed Perlmutter
                          Michelle Ferrigno Warren (D),40839,5111,D,                          Michelle Ferrigno Warren
                          John Hickenlooper (D),2125881,459510,D,                          John Hickenlooper
                          Andrew Romanoff (D),1432185,468873,D,                          Andrew Romanoff
                          Stephany Rose Spaulding (D),139424,36953,D,                          Stephany Rose Spaulding
                          Diana Bray (D),76129,12916,D,                          Diana Bray
                          Patricia Anne Zornio (D),89692,43306,D,                          Patricia Anne Zornio
                          Dustin John Leitzel (D),5385,0,D,                          Dustin John Leitzel
                          Lorena Garcia (D),53634,28706,D,                          Lorena Garcia
                          Ellen Burnes (D),102321,6567,D,                          Ellen Burnes
                          Angela Williams (D),108293,11053,D,                          Angela Williams
                          Cory Gardner (R),8976481,585163,R,                          Cory Gardner
                          John B Larson (D),519633,14990,D,                          John B Larson
                          Thomas Gilmer (R),38075,661,R,                          Thomas Gilmer
                          Joe Courtney (D),382166,36966,D,                          Joe Courtney
                          Rosa L DeLauro (D),497787,36059,D,                          Rosa L DeLauro
                          Jonathan Riddle (R),7228,100,R,                          Jonathan Riddle
                          Jim Himes (D),447146,31996,D,                          Jim Himes
                          David Sullivan (R),59173,8472,R,                          David Sullivan
                          Jahana Hayes (D),661175,105201,D,                          Jahana Hayes
                          Eleanor Holmes Norton (D),111906,456,D,                          Eleanor Holmes Norton
                          Lee Murphy (R),11182,4358,R,                          Lee Murphy
                          Lisa Blunt Rochester (D),542946,24659,D,                          Lisa Blunt Rochester
                          Chris Coons (D),3424665,119232,D,                          Chris Coons
                          Phil Ehr (D),48613,19514,D,                          Phil Ehr
                          Matt Gaetz (R),518563,299036,R,                          Matt Gaetz
                          Neal Dunn (R),181950,850,R,                          Neal Dunn
                          Amy Pope Wells (R),39590,3890,R,                          Amy Pope Wells
                          Ted Yoho (R),73162,589,R,                          Ted Yoho
                          John Rutherford (R),228900,300,R,                          John Rutherford
                          Albert Chester (D),34950,3450,D,                          Albert Chester
                          Al Lawson (D),217274,2238,D,                          Al Lawson
                          Clint Curtis (D),9965,365,D,                          Clint Curtis
                          Michael Waltz (R),583142,11550,R,                          Michael Waltz
                          Armani Salado (R),8380,6580,R,                          Armani Salado
                          Vennia Francois (R),15224,2240,R,                          Vennia Francois
                          Jan Edwards (R),8546,470,R,                          Jan Edwards
                          Mike Thibodeau (R),11265,1265,R,                          Mike Thibodeau
                          Stephanie Murphy (D),1020441,26628,D,                          Stephanie Murphy
                          James Kennedy (D),42060,2462,D,                          James Kennedy
                          Bill Posey (R),298909,15952,R,                          Bill Posey
                          Bill Olson (R),24381,11511,R,                          Bill Olson
                          Darren Soto (D),346980,3655,D,                          Darren Soto
                          Kirk Troen (R),7756,3506,R,                          Kirk Troen
                          Val Demings (D),253607,13107,D,                          Val Demings
                          Dana Cottrell (D),17276,10491,D,                          Dana Cottrell
                          Daniel Webster (R),195831,16286,R,                          Daniel Webster
                          Gus Bilirakis (R),563389,32068,R,                          Gus Bilirakis
                          Anna Paulina Luna (R),55225,33225,R,                          Anna Paulina Luna
                          Matt Becker (R),71325,5505,R,                          Matt Becker
                          Amanda Makki (R),417972,17779,R,                          Amanda Makki
                          George Buck (R),179264,128046,R,                          George Buck
                          Sheila Griffin (R),13225,4288,R,                          Sheila Griffin
                          Charlie Crist (D),1186868,38055,D,                          Charlie Crist
                          Kathy Castor (D),333460,19565,D,                          Kathy Castor
                          Alan Cohn (D),72692,8709,D,                          Alan Cohn
                          Adam Hattersley (D),113439,33809,D,                          Adam Hattersley
                          Ross Spano (R),384091,3872,R,                          Ross Spano
                          Margaret Good (D),446634,81713,D,                          Margaret Good
                          Vernon Buchanan (R),804830,6691,R,                          Vernon Buchanan
                          Greg Steube (R),232788,9343,R,                          Greg Steube
                          Brian Mast (R),1432769,541411,R,                          Brian Mast
                          Alcee L Hastings (D),124331,995,D,                          Alcee L Hastings
                          Laura Loomer (R),154311,88925,R,                          Laura Loomer
                          Aaron Scanlan (R),12615,4115,R,                          Aaron Scanlan
                          Christian Acosta (R),16795,5635,R,                          Christian Acosta
                          Michael Blueming Jr (R),20345,5098,R,                          Michael Blueming Jr
                          Lois J Frankel (D),431271,15808,D,                          Lois J Frankel
                          Omar Reyes (I),8741,325,I,                          Omar Reyes
                          Ted Deutch (D),488396,15983,D,                          Ted Deutch
                          Richard Mendelson (R),5664,1589,R,                          Richard Mendelson
                          Jennifer Perelman (D),39416,4293,D,                          Jennifer Perelman
                          Debbie Wasserman Schultz (D),695075,59798,D,                          Debbie Wasserman Schultz
                          Frederica Wilson (D),110672,85,D,                          Frederica Wilson
                          Mario Diaz-Balart (R),744971,1071,R,                          Mario Diaz-Balart
                          Omar Blanco (R),102556,11656,R,                          Omar Blanco
                          Irina Vilarino (R),373055,14655,R,                          Irina Vilarino
                          Debbie Mucarsel-Powell (D),1556310,129273,D,                          Debbie Mucarsel-Powell
                          Juan Fiol (R),10300,1715,R,                          Juan Fiol
                          Maria Salazar (R),502703,9378,R,                          Maria Salazar
