GIS Join Match Code,NHGIS Integrated State Name,FIPS State Code,NHGIS Integrated State Code,county_name,FIPS County Code,NHGIS Integrated County Code,1790: Persons: Total,1800: Persons: Total,1810: Persons: Total,1820: Persons: Total,1830: Persons: Total,1840: Persons: Total,1850: Persons: Total,1860: Persons: Total,1870: Persons: Total,1880: Persons: Total,1890: Persons: Total,1900: Persons: Total,1910: Persons: Total,1920: Persons: Total,1930: Persons: Total,1940: Persons: Total,1950: Persons: Total,1960: Persons: Total,1970: Persons: Total,1980: Persons: Total,1990: Persons: Total,2000: Persons: Total,2010: Persons: Total,FIPS-Code
G0100010,Alabama,01,010,Autauga County,001,0010,,,,3853.0,11874.0,14342.0,15023.0,16739.0,11623.0,13108.0,13330.0,17915.0,20038.0,18908.0,19694.0,20977.0,18186.0,18739.0,24460.0,32259.0,34222.0,43671.0,54571.0,01001
G0100030,Alabama,01,010,Baldwin County,003,0030,,,,1713.0,2324.0,2951.0,4414.0,7530.0,6004.0,8603.0,8941.0,13194.0,18178.0,20730.0,28289.0,32324.0,40997.0,49088.0,59382.0,78556.0,98280.0,140415.0,182265.0,01003
G0100050,Alabama,01,010,Barbour County,005,0050,,,,,,12024.0,23632.0,30812.0,29309.0,33979.0,34898.0,35152.0,32728.0,32067.0,32425.0,32722.0,28892.0,24700.0,22543.0,24756.0,25417.0,29038.0,27457.0,01005
G0100070,Alabama,01,010,Bibb County,007,0070,,,,,6306.0,8284.0,9969.0,11894.0,7469.0,9487.0,13824.0,18498.0,22791.0,23144.0,20780.0,20155.0,17987.0,14357.0,13812.0,15723.0,16576.0,20826.0,22915.0,01007
G0100090,Alabama,01,010,Blount County,009,0090,,,,2415.0,4233.0,5570.0,7367.0,10865.0,9945.0,15369.0,21927.0,23119.0,21456.0,25538.0,28020.0,29490.0,28975.0,25449.0,26853.0,36459.0,39248.0,51024.0,57322.0,01009
G0100110,Alabama,01,010,Bullock County,011,0110,,,,,,,,,24474.0,29066.0,27063.0,31944.0,30196.0,25333.0,20016.0,19810.0,16054.0,13462.0,11824.0,10596.0,11042.0,11714.0,10914.0,01011
G0100130,Alabama,01,010,Butler County,013,0130,,,,1405.0,5650.0,8685.0,10836.0,18122.0,14981.0,19649.0,21641.0,25761.0,29030.0,29531.0,30195.0,32447.0,29228.0,24560.0,22007.0,21680.0,21892.0,21399.0,20947.0,01013
G0100150,Alabama,01,010,Calhoun County,015,0150,,,,,,,,21539.0,13980.0,19591.0,33835.0,34874.0,39115.0,47822.0,55611.0,63319.0,79539.0,95878.0,103092.0,119761.0,116034.0,112249.0,118572.0,01015
G0100170,Alabama,01,010,Chambers County,017,0170,,,,,,17333.0,23960.0,23214.0,17562.0,23440.0,26319.0,32554.0,36056.0,41201.0,39313.0,42146.0,39528.0,37828.0,36356.0,39191.0,36876.0,36583.0,34215.0,01017
G0100190,Alabama,01,010,Cherokee County,019,0190,,,,,,8773.0,13884.0,18360.0,11132.0,19108.0,20459.0,21096.0,20226.0,20862.0,20219.0,19928.0,17634.0,16303.0,15606.0,18760.0,19543.0,23988.0,25989.0,01019
G0100210,Alabama,01,010,Chilton County,021,0210,,,,,,,,,,10793.0,14549.0,16522.0,23187.0,22770.0,24579.0,27955.0,26922.0,25693.0,25180.0,30612.0,32458.0,39593.0,43643.0,01021
G0100230,Alabama,01,010,Choctaw County,023,0230,,,,,,,8389.0,13877.0,12676.0,15731.0,17526.0,18136.0,18483.0,20753.0,20513.0,20195.0,19152.0,17870.0,16589.0,16839.0,16018.0,15922.0,13859.0,01023
G0100250,Alabama,01,010,Clarke County,025,0250,,,,5839.0,7595.0,8640.0,9786.0,15049.0,14663.0,17806.0,22624.0,27790.0,30987.0,26409.0,26016.0,27636.0,26548.0,25738.0,26724.0,27702.0,27240.0,27867.0,25833.0,01025
G0100270,Alabama,01,010,Clay County,027,0270,,,,,,,,,9560.0,12938.0,15765.0,17099.0,21006.0,22645.0,17768.0,16907.0,13929.0,12400.0,12636.0,13703.0,13252.0,14254.0,13932.0,01027
G0100290,Alabama,01,010,Cleburne County,029,0290,,,,,,,,,8017.0,10976.0,13218.0,13206.0,13385.0,13360.0,12877.0,13629.0,11904.0,10911.0,10996.0,12595.0,12730.0,14123.0,14972.0,01029
G0100310,Alabama,01,010,Coffee County,031,0310,,,,,,,5940.0,9623.0,6171.0,8119.0,12170.0,20972.0,26119.0,30070.0,32556.0,31987.0,30720.0,30583.0,34872.0,38533.0,40240.0,43615.0,49948.0,01031
G0100330,Alabama,01,010,Colbert County,033,0330,,,,,,,,,12537.0,16153.0,20189.0,22341.0,24802.0,31997.0,29860.0,34093.0,39561.0,46506.0,49632.0,54519.0,51666.0,54984.0,54428.0,01033
G0100350,Alabama,01,010,Conecuh County,035,0350,,,,5713.0,7444.0,8197.0,9322.0,11311.0,9574.0,12605.0,14594.0,17514.0,21433.0,24593.0,25429.0,25489.0,21776.0,17762.0,15645.0,15884.0,14054.0,14089.0,13228.0,01035
G0100370,Alabama,01,010,Coosa County,037,0370,,,,,,6995.0,14543.0,19273.0,11945.0,15113.0,15906.0,16144.0,16634.0,14839.0,12460.0,13460.0,11766.0,10726.0,10662.0,11377.0,11063.0,12202.0,11539.0,01037
G0100390,Alabama,01,010,Covington County,039,0390,,,,,1522.0,2435.0,3645.0,6469.0,4868.0,5639.0,7536.0,15346.0,32124.0,38103.0,41356.0,42417.0,40373.0,35631.0,34079.0,36850.0,36478.0,37631.0,37765.0,01039
G0100410,Alabama,01,010,Crenshaw County,041,0410,,,,,,,,,11156.0,11726.0,15425.0,19668.0,23313.0,23017.0,23656.0,23631.0,18981.0,14909.0,13188.0,14110.0,13635.0,13665.0,13906.0,01041
G0100430,Alabama,01,010,Cullman County,043,0430,,,,,,,,,,6355.0,13439.0,17849.0,28321.0,33034.0,41051.0,47343.0,49046.0,45572.0,52445.0,61642.0,67613.0,77483.0,80406.0,01043
G0100450,Alabama,01,010,Dale County,045,0450,,,,,2031.0,7397.0,6382.0,12197.0,11325.0,12677.0,17225.0,21189.0,21608.0,22711.0,23175.0,22685.0,20828.0,31066.0,52938.0,47821.0,49633.0,49129.0,50251.0,01045
G0100470,Alabama,01,010,Dallas County,047,0470,,,,6003.0,14017.0,25199.0,29727.0,33625.0,40705.0,48433.0,49350.0,54657.0,53401.0,54697.0,55094.0,55245.0,56270.0,56667.0,55296.0,53981.0,48130.0,46365.0,43820.0,01047
G0100490,Alabama,01,010,DeKalb County,049,0490,,,,,,5929.0,8245.0,10705.0,7126.0,12675.0,21106.0,23558.0,28261.0,34426.0,40104.0,43075.0,45048.0,41417.0,41981.0,53658.0,54651.0,64452.0,71109.0,01049
G0100510,Alabama,01,010,Elmore County,051,0510,,,,,,,,,14477.0,17502.0,21732.0,26099.0,28245.0,28085.0,34280.0,34546.0,31649.0,30524.0,33535.0,43390.0,49210.0,65874.0,79303.0,01051
G0100530,Alabama,01,010,Escambia County,053,0530,,,,,,,,,4041.0,5719.0,8666.0,11320.0,18889.0,22464.0,27963.0,30671.0,31443.0,33511.0,34906.0,38440.0,35518.0,38440.0,38319.0,01053
G0100550,Alabama,01,010,Etowah County,055,0550,,,,,,,,,10109.0,15398.0,21926.0,27361.0,39109.0,47275.0,63399.0,72580.0,93892.0,96980.0,94144.0,103057.0,99840.0,103459.0,104430.0,01055
G0100570,Alabama,01,010,Fayette County,057,0570,,,,,3547.0,6942.0,9681.0,12850.0,7136.0,10135.0,12823.0,14132.0,16248.0,18365.0,18443.0,21651.0,19388.0,16148.0,16252.0,18809.0,17962.0,18495.0,17241.0,01057
G0100590,Alabama,01,010,Franklin County,059,0590,,,,4988.0,11078.0,14270.0,19610.0,18627.0,8006.0,9155.0,10681.0,16511.0,19369.0,22011.0,25372.0,27552.0,25705.0,21988.0,23933.0,28350.0,27814.0,31223.0,31704.0,01059
