country_name,support,billion_usd
Switzerland,N,46.25
United Kingdom,N,41.37
Germany,N,20.41
Australia,N,17.86
United Arab Emirates,Y,17.64
Russia,Y,14.78
Egypt,Y,12.24
Nigeria,Y,11.31
Pakistan,Y,9.91
Saudi Arabia,Y,8.46
Canada,N,8.34
Sweden,N,7.76
Finland,N,7.59
Cambodia,Y,7.33
Laos,Y,6.92
France,N,6.47
Philippines,Y,5.61
Japan,N,3.83
Kuwait,Y,3.62
Angola,Y,3.36
Zimbabwe,Y,3.24
Netherlands,N,2.42
Democratic Republic of the Congo,Y,2.36
Luxembourg,N,2.23
Spain,N,1.65
Myanmar,Y,1.62
Bolivia,Y,1.42
Cameroon,Y,1.41
